"","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt"
"1","GL6dasaA9e0","Shame on you.. you share your bacteria with your dog, you sick fuck... you do look like that type of guy...","Shame on you.. you share your bacteria with your dog, you sick fuck... you do look like that type of guy...","aggie","https://yt3.ggpht.com/a/AATXAJwFxF4SMNXGrPLVhi4FW6bciY9mNmG-e2KuwQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCTDG0YjkY2dW5lrUWLipdJg","UCTDG0YjkY2dW5lrUWLipdJg","TRUE","none","0","2020-10-19T06:55:58Z","2020-10-19T06:55:58Z"
"2","GL6dasaA9e0","Liter a week <U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923>","Liter a week <U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923>","MANU","https://yt3.ggpht.com/a/AATXAJyZmddJJyfBsrAKVHFkud55zppVMiPNt2aJqhjW6g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC29Xbk3BQEh37nXKs1LSc7A","UC29Xbk3BQEh37nXKs1LSc7A","TRUE","none","0","2020-10-19T03:19:21Z","2020-10-19T03:19:21Z"
"3","GL6dasaA9e0","FECAL TRANSPLANT??","FECAL TRANSPLANT??","Elleyona SpG","https://yt3.ggpht.com/a/AATXAJyQrqsxYEQjOfNkJxcv_adMRw6nXcTFK07sww=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCIhVr3ETbZdBSfJmmSh2Quw","UCIhVr3ETbZdBSfJmmSh2Quw","TRUE","none","0","2020-10-18T21:37:48Z","2020-10-18T21:37:48Z"
"4","GL6dasaA9e0","I've been eating that for 60 years how come I'm not Dead","I've been eating that for 60 years how come I'm not Dead","Frank Lyons","https://yt3.ggpht.com/a/AATXAJwLkWTq1BsLL04xndwi3x9iOqAUd24za4hXFg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC4TAr8IzBn4KETqVLHH5rHg","UC4TAr8IzBn4KETqVLHH5rHg","TRUE","none","0","2020-10-18T15:13:20Z","2020-10-18T15:13:20Z"
"5","GL6dasaA9e0","Boo lies these foods are healthy","Boo lies these foods are healthy","Pesho musukuma","https://yt3.ggpht.com/a/AATXAJzrkrnrgNt7zjvhEaU0F3ToFYDug5fZ2rjpiw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCzBY8_qA99WDyY8glyQk7ag","UCzBY8_qA99WDyY8glyQk7ag","TRUE","none","0","2020-10-18T14:50:51Z","2020-10-18T14:50:51Z"
"6","GL6dasaA9e0","I think the only kumbaya here is the dr. Bringing  us more confusion  than advise","I think the only kumbaya here is the dr. Bringing  us more confusion  than advise","Alba Solorzano","https://yt3.ggpht.com/a/AATXAJxz7kSqL00KupcZAaatlEG2XVZbs3YlLjDQnA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCENWvNIcHwBSq2QYI01oUEw","UCENWvNIcHwBSq2QYI01oUEw","TRUE","none","0","2020-10-18T13:28:57Z","2020-10-18T13:28:57Z"
"7","GL6dasaA9e0","I am not a tin hat wearer, however I have heard that young black people have been found having been autopsied with their innards missing!","I am not a tin hat wearer, however I have heard that young black people have been found having been autopsied with their innards missing!","John Gordon","https://yt3.ggpht.com/a/AATXAJzqiCAvg2-YDln75_44m997oAEFidetX3z4LlXoGQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC9Daneylv3H9-_I1aivtY-g","UC9Daneylv3H9-_I1aivtY-g","TRUE","none","0","2020-10-18T08:16:32Z","2020-10-18T08:18:02Z"
"8","GL6dasaA9e0","Here's a link to one study about someone gaining weight after a fecal transplant. Not the exact same details as what he said, but the conclusion is the same. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4438885/","Here's a link to one study about someone gaining weight after a fecal transplant. Not the exact same details as what he said, but the conclusion is the same. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4438885/","Marshall Gittler","https://yt3.ggpht.com/a/AATXAJx3KYKajDOzTEjRqqT8VnF0pETLp0m2m2WI54P1tA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCmDH6HRojEGOmRAiE79TacA","UCmDH6HRojEGOmRAiE79TacA","TRUE","none","0","2020-10-17T19:03:08Z","2020-10-17T19:03:08Z"
"9","GL6dasaA9e0","Ok that´s enough of internet for today.","Ok that´s enough of internet for today.","Paulo Ferro","https://yt3.ggpht.com/a/AATXAJyzoHcdNuLzMRkNaZsxgp15b4z8_HvMjwPcrgejTg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCTvtMkwFo7ZJGh00whM7ZtA","UCTvtMkwFo7ZJGh00whM7ZtA","TRUE","none","0","2020-10-17T17:03:19Z","2020-10-17T17:03:19Z"
"10","GL6dasaA9e0","At 17min what about equatorial people?","At 17min what about equatorial people?","Malach211","https://yt3.ggpht.com/a/AATXAJynuDN-boCpTi0Sm8qyN3ySiP7jF4nKiAN3UA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCd6x8JvaVidROFCongKfbyA","UCd6x8JvaVidROFCongKfbyA","TRUE","none","0","2020-10-17T00:38:32Z","2020-10-17T00:38:32Z"
"11","GL6dasaA9e0","someone tell this ""doctor"" he actualy needs carnivore diet :D ,he literaly removed everything but he still needs fats and he fucking eats 1 litre of olive oil rofl ,whats even worse hes talking about foods that didnt exist 500 years ago ,fucking olive oil was invented when machines that could produce it were invented and thats less then 100 years ago","someone tell this ""doctor"" he actualy needs carnivore diet :D ,he literaly removed everything but he still needs fats and he fucking eats 1 litre of olive oil rofl ,whats even worse hes talking about foods that didnt exist 500 years ago ,fucking olive oil was invented when machines that could produce it were invented and thats less then 100 years ago","Dejan Soskic","https://yt3.ggpht.com/a/AATXAJznuc673T2u-bCG0DNZolP8caRhxev-tbwEN8_3hA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCM32IKYMAMPPx9Xj2NvaW-Q","UCM32IKYMAMPPx9Xj2NvaW-Q","TRUE","none","0","2020-10-16T15:25:02Z","2020-10-16T15:25:54Z"
"12","GL6dasaA9e0","yea i stopped watching when he said put 1 liter of olive oil in your mouth.","yea i stopped watching when he said put 1 liter of olive oil in your mouth.","J - R3d","https://yt3.ggpht.com/a/AATXAJypfAAVXmdagZErD1ZS3y4de-2z4VcqXZv011phPw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCGMWiFuEAUZYK_7vD4EvOkw","UCGMWiFuEAUZYK_7vD4EvOkw","TRUE","none","0","2020-10-16T14:25:13Z","2020-10-16T14:25:13Z"
"13","GL6dasaA9e0","Does anyone want to donate me their happy poop?","Does anyone want to donate me their happy poop?","Th3M41nCompon3nt","https://yt3.ggpht.com/a/AATXAJxxCxqvQBtlVjDUJWt0cTJ44oC8XeluWyeUjQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC-7n7nMPLVKFBaMUyRf8oQQ","UC-7n7nMPLVKFBaMUyRf8oQQ","TRUE","none","0","2020-10-16T13:26:04Z","2020-10-16T13:26:04Z"
